condicion,rol,persona_score,rag_score,bdi_score,estabilidad_rol,autenticidad_lexica,autenticidad_emocional,goal_directedness,tactical_consistency,factual_grounding,answer_relevance
A — Baseline,tercero,4.513,,,4.0,4.385,4.308,5.0,4.846,4.538,4.692
A — Baseline,victima,4.705,,,5.0,4.615,4.615,5.0,4.769,4.231,4.692
A — Baseline,victimario,4.526,,,5.0,4.308,4.308,5.0,4.308,4.231,4.462
C — BDI only,tercero,4.679,,4.846,5.0,4.308,4.385,5.0,4.769,4.615,4.769
C — BDI only,victima,4.821,,4.885,5.0,4.692,4.769,5.0,4.923,4.5,4.846
C — BDI only,victimario,4.514,,4.75,5.0,4.167,4.333,5.0,4.5,4.083,4.417
D — BDI+RAG,tercero,4.628,0.68,4.692,5.0,4.308,4.231,5.0,4.692,4.538,4.769
D — BDI+RAG,victima,4.513,0.591,4.269,5.0,4.154,4.308,5.0,4.231,4.385,4.385
D — BDI+RAG,victimario,4.556,0.612,4.577,5.0,4.385,4.231,5.0,4.385,4.333,4.308
B — RAG only,tercero,4.474,0.625,,5.0,4.077,4.154,5.0,4.462,4.154,4.231
B — RAG only,victima,4.577,0.615,,5.0,4.154,4.538,5.0,4.308,4.462,4.462
B — RAG only,victimario,4.231,0.62,,4.0,4.077,4.077,5.0,4.154,4.077,4.308
