metrica;valor;interpretacion
Kendall W (nota: max con 3 jueces ≈ 0,5);0,1111;
Spearman rho promedio (mejor interpretable);1,0;Concordancia perfecta

juez;baseline;rag_only;bdi_only;bdi_rag;ordenamiento
GPT-5;5,5897;7,2308;5,6667;7,7436;bdi_rag > rag_only > bdi_only > baseline
Gemini3Flash;4,359;7,7436;4,6667;7,8974;bdi_rag > rag_only > bdi_only > baseline
Qwen36Plus;3,7179;7,2051;3,7436;7,5385;bdi_rag > rag_only > bdi_only > baseline

Pares de jueces;Spearman rho;p-valor
GPT-5 vs Gemini3Flash;1,0;0,0
GPT-5 vs Qwen36Plus;1,0;0,0
Gemini3Flash vs Qwen36Plus;1,0;0,0
