condicion,actor_id,turno,tipologia_pregunta,persona_score,bdi_score,rag_score,estabilidad_rol,autenticidad_lexica,autenticidad_emocional,goal_directedness,tactical_consistency,factual_grounding,answer_relevance,lexical_adoption,coherencia_tactica,subordinacion_macro,autenticidad_discursiva
baseline,victima,1,cerrada,4.3333,,,5.0,3.0,5.0,5.0,3.0,5.0,4.0,,,,4.0
baseline,victima,2,abierta,4.3333,,,5.0,2.0,5.0,5.0,5.0,4.0,5.0,,,,3.5
baseline,victima,3,abierta,4.6667,,,5.0,3.0,5.0,5.0,5.0,5.0,5.0,,,,4.0
baseline,victima,4,cerrada,4.6667,,,5.0,3.0,5.0,5.0,5.0,5.0,5.0,,,,4.0
baseline,victima,5,abierta,4.5,,,5.0,2.0,5.0,5.0,5.0,5.0,4.0,,,,3.5
baseline,victima,6,abierta,4.5,,,5.0,3.0,4.0,5.0,5.0,5.0,5.0,,,,3.5
baseline,victima,7,abierta,4.5,,,5.0,2.0,5.0,5.0,5.0,5.0,5.0,,,,3.5
baseline,victima,8,abierta,3.8333,,,5.0,2.0,5.0,5.0,5.0,1.0,5.0,,,,3.5
baseline,victima,9,abierta,4.8333,,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,4.5
baseline,victima,10,confrontativa,3.6667,,,5.0,3.0,4.0,5.0,3.0,2.0,5.0,,,,3.5
baseline,victima,11,confrontativa,3.1667,,,5.0,1.0,2.0,5.0,2.0,4.0,3.0,,,,1.5
baseline,victima,12,confrontativa,3.5,,,5.0,1.0,2.0,5.0,3.0,5.0,3.0,,,,1.5
baseline,victima,13,abierta,3.3333,,,5.0,1.0,2.0,5.0,2.0,5.0,3.0,,,,1.5
baseline,victimario,1,abierta,4.6667,,,5.0,4.0,4.0,5.0,5.0,5.0,5.0,,,,4.0
baseline,victimario,2,abierta,4.8333,,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,4.5
baseline,victimario,3,cerrada,4.5,,,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,,,4.0
baseline,victimario,4,abierta,4.5,,,5.0,5.0,5.0,5.0,5.0,2.0,3.0,,,,5.0
baseline,victimario,5,abierta,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,,,5.0
baseline,victimario,6,abierta,4.5,,,5.0,5.0,5.0,5.0,5.0,2.0,3.0,,,,5.0
baseline,victimario,7,confrontativa,4.5,,,5.0,5.0,5.0,5.0,5.0,2.0,5.0,,,,5.0
baseline,victimario,8,abierta,4.1667,,,5.0,3.0,5.0,5.0,5.0,2.0,4.0,,,,4.0
baseline,victimario,9,confrontativa,3.8333,,,5.0,5.0,4.0,5.0,3.0,1.0,4.0,,,,4.5
baseline,victimario,10,abierta,4.0,,,5.0,3.0,5.0,5.0,5.0,1.0,3.0,,,,4.0
baseline,victimario,11,confrontativa,4.3333,,,5.0,4.0,5.0,5.0,5.0,2.0,3.0,,,,4.5
baseline,victimario,12,abierta,3.6667,,,5.0,2.0,4.0,5.0,5.0,1.0,3.0,,,,3.0
baseline,victimario,13,abierta,4.5,,,5.0,2.0,5.0,5.0,5.0,5.0,3.0,,,,3.5
baseline,tercero,1,cerrada,4.3333,,,5.0,2.0,4.0,5.0,5.0,5.0,5.0,,,,3.0
baseline,tercero,2,abierta,4.1667,,,5.0,2.0,4.0,5.0,5.0,4.0,5.0,,,,3.0
baseline,tercero,3,abierta,4.3333,,,5.0,2.0,4.0,5.0,5.0,5.0,5.0,,,,3.0
baseline,tercero,4,abierta,4.5,,,5.0,2.0,5.0,5.0,5.0,5.0,5.0,,,,3.5
baseline,tercero,5,cerrada,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,5.0
baseline,tercero,6,abierta,3.3333,,,5.0,2.0,2.0,5.0,5.0,1.0,5.0,,,,2.0
baseline,tercero,7,abierta,4.1667,,,5.0,4.0,5.0,5.0,5.0,1.0,5.0,,,,4.5
baseline,tercero,8,abierta,4.5,,,5.0,2.0,5.0,5.0,5.0,5.0,5.0,,,,3.5
baseline,tercero,9,cerrada,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,5.0
baseline,tercero,10,confrontativa,4.5,,,5.0,3.0,5.0,5.0,5.0,4.0,5.0,,,,4.0
baseline,tercero,11,confrontativa,4.3333,,,5.0,2.0,5.0,5.0,5.0,4.0,5.0,,,,3.5
baseline,tercero,12,abierta,3.6667,,,5.0,2.0,4.0,5.0,5.0,1.0,5.0,,,,3.0
baseline,tercero,13,abierta,4.1667,,,5.0,2.0,3.0,5.0,5.0,5.0,5.0,,,,2.5
rag_only,victima,1,cerrada,4.5,,0.7026,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,,,4.0
rag_only,victima,2,abierta,3.8333,,0.5835,5.0,3.0,4.0,5.0,5.0,1.0,5.0,4.0,,,3.5
rag_only,victima,3,abierta,4.6667,,0.6922,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,,,4.0
rag_only,victima,4,cerrada,4.3333,,0.7339,5.0,3.0,5.0,5.0,3.0,5.0,5.0,5.0,,,4.0
rag_only,victima,5,abierta,4.5,,0.6513,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,,,3.5
rag_only,victima,6,abierta,4.6667,,0.5788,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,,,4.0
rag_only,victima,7,abierta,4.5,,0.4824,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,,,3.5
rag_only,victima,8,abierta,4.6667,,0.5071,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,,,4.0
rag_only,victima,9,abierta,4.6667,,0.6397,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,,,4.0
rag_only,victima,10,confrontativa,4.8333,,0.7198,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,4.5
rag_only,victima,11,confrontativa,4.8333,,0.7068,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,,,4.5
rag_only,victima,12,confrontativa,4.6667,,0.7037,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,,,4.0
rag_only,victima,13,abierta,3.8333,,0.3942,5.0,1.0,2.0,5.0,5.0,5.0,5.0,3.0,,,1.5
rag_only,victimario,1,abierta,4.8333,,0.6235,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,4.5
rag_only,victimario,2,abierta,4.5,,0.6293,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,,,5.0
rag_only,victimario,3,cerrada,4.6667,,0.6954,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,,,4.0
rag_only,victimario,4,abierta,4.6667,,0.6548,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,,,4.0
rag_only,victimario,5,abierta,4.3333,,0.7308,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,,,5.0
rag_only,victimario,6,abierta,5.0,,0.7303,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,,5.0
rag_only,victimario,7,confrontativa,4.8333,,0.7129,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,4.5
rag_only,victimario,8,abierta,5.0,,0.6188,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,,,5.0
rag_only,victimario,9,confrontativa,5.0,,0.6965,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,,,5.0
rag_only,victimario,10,abierta,4.0,,0.6887,5.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,,,4.0
rag_only,victimario,11,confrontativa,4.3333,,0.6528,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,,,5.0
