ngrama,frecuencia,tfidf,specificity_score,ngram_size,rol
como,70283,0.035968,0.187995,1,victima
eso,64088,0.035211,0.231106,1,victima
porque,61959,0.035071,0.230941,1,victima
entonces,54348,0.033085,0.255109,1,victima
ahi,38161,0.031145,0.314098,1,victima
pues,41843,0.030866,0.235869,1,victima
asi,18976,0.026392,0.230185,1,victima
gente,20790,0.026314,0.187807,1,victima
usted,21401,0.026226,0.222724,1,victima
muy,20397,0.026086,0.167595,1,victima
bueno,18617,0.025958,0.197201,1,victima
estaba,18245,0.025827,0.1938,1,victima
hay,17160,0.025399,0.161958,1,victima
sea,18842,0.025013,0.183101,1,victima
nada,14635,0.024987,0.171361,1,victima
despues,10631,0.022596,0.214587,1,victima
hasta,9561,0.02213,0.148269,1,victima
mucho,9850,0.021903,0.153804,1,victima
esto,10742,0.021674,0.147243,1,victima
dijo,13338,0.021525,0.165973,1,victima
son,10047,0.021484,0.135529,1,victima
eran,9351,0.021411,0.176909,1,victima
guerrilla,9776,0.021224,0.248875,1,victima
parte,8902,0.02098,0.144904,1,victima
personas,8671,0.0207,0.150582,1,victima
tengo,8592,0.020515,0.145934,1,victima
momento,9023,0.020447,0.154851,1,victima
bien,7705,0.020275,0.134876,1,victima
dije,12099,0.020175,0.182479,1,victima
habian,7799,0.020056,0.230252,1,victima
claro,8480,0.020032,0.162763,1,victima
ver,7440,0.020018,0.140567,1,victima
familia,7336,0.019925,0.159132,1,victima
iba,7860,0.019786,0.171621,1,victima
paso,6719,0.019763,0.16464,1,victima
estan,7154,0.019534,0.189475,1,victima
estaban,6929,0.019445,0.168213,1,victima
ahora,6540,0.019373,0.131611,1,victima
ustedes,6848,0.01916,0.169752,1,victima
dice,7342,0.019143,0.144102,1,victima
decia,8176,0.019136,0.219287,1,victima
mama,7779,0.019075,0.202594,1,victima
menos,6472,0.018866,0.13724,1,victima
quien,5955,0.018803,0.141967,1,victima
voy,7243,0.018791,0.141876,1,victima
papa,8122,0.018775,0.18084,1,victima
hace,5799,0.018767,0.128351,1,victima
digo,7156,0.018717,0.16018,1,victima
senor,7192,0.018475,0.23381,1,victima
pueblo,6320,0.018441,0.148112,1,victima
interrup,8572,0.018411,0.254357,1,victima
creo,7704,0.018408,0.136017,1,victima
organizacion,8495,0.018372,0.229195,1,victima
