condicion,actor_id,turno,tipologia_pregunta,persona_score,bdi_score,rag_score,estabilidad_rol,autenticidad_lexica,autenticidad_emocional,goal_directedness,tactical_consistency,factual_grounding,answer_relevance,lexical_adoption,coherencia_tactica,subordinacion_macro,autenticidad_discursiva
baseline,victima,1,cerrada,4.6667,,,5.0,4.0,5.0,5.0,4.0,5.0,5.0,,,,4.5
baseline,victima,2,abierta,4.5,,,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,,,4.0
baseline,victima,3,abierta,4.5,,,5.0,4.0,5.0,5.0,5.0,3.0,5.0,,,,4.5
baseline,victima,4,cerrada,4.6667,,,5.0,4.0,5.0,5.0,5.0,4.0,5.0,,,,4.5
baseline,victima,5,abierta,4.8333,,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,4.5
baseline,victima,6,abierta,4.8333,,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,4.5
baseline,victima,7,abierta,4.5,,,5.0,4.0,4.0,5.0,4.0,5.0,5.0,,,,4.0
baseline,victima,8,abierta,4.6667,,,5.0,4.0,5.0,5.0,5.0,4.0,5.0,,,,4.5
baseline,victima,9,abierta,4.8333,,,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,,,4.5
baseline,victima,10,confrontativa,4.3333,,,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,,,4.0
baseline,victima,11,confrontativa,4.3333,,,5.0,4.0,4.0,5.0,4.0,4.0,5.0,,,,4.0
baseline,victima,12,confrontativa,4.5,,,5.0,4.0,4.0,5.0,5.0,4.0,5.0,,,,4.0
baseline,victima,13,abierta,4.6667,,,5.0,4.0,4.0,5.0,5.0,5.0,5.0,,,,4.0
baseline,victimario,1,abierta,3.8333,,,4.0,4.0,4.0,4.0,4.0,3.0,5.0,,,,4.0
baseline,victimario,2,abierta,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,4.0
baseline,victimario,3,cerrada,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,4.0
baseline,victimario,4,abierta,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,4.0
baseline,victimario,5,abierta,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,4.0
baseline,victimario,6,abierta,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,4.0
baseline,victimario,7,confrontativa,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,4.0
baseline,victimario,8,abierta,4.5,,,4.0,5.0,5.0,4.0,5.0,4.0,5.0,,,,5.0
baseline,victimario,9,confrontativa,4.3333,,,4.0,5.0,4.0,4.0,5.0,4.0,5.0,,,,4.5
baseline,victimario,10,abierta,4.0,,,4.0,5.0,4.0,4.0,4.0,3.0,5.0,,,,4.5
baseline,victimario,11,confrontativa,3.8333,,,4.0,4.0,4.0,4.0,4.0,3.0,5.0,,,,4.0
baseline,victimario,12,abierta,3.8333,,,4.0,4.0,4.0,4.0,4.0,3.0,5.0,,,,4.0
baseline,victimario,13,abierta,4.5,,,4.0,5.0,4.0,4.0,5.0,5.0,5.0,,,,4.5
baseline,tercero,1,cerrada,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,4.0
baseline,tercero,2,abierta,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,4.0
baseline,tercero,3,abierta,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,4.0
baseline,tercero,4,abierta,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,4.0
baseline,tercero,5,cerrada,4.3333,,,4.0,4.0,4.0,4.0,5.0,5.0,5.0,,,,4.0
baseline,tercero,6,abierta,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,4.0
baseline,tercero,7,abierta,3.6667,,,4.0,4.0,4.0,4.0,4.0,2.0,5.0,,,,4.0
baseline,tercero,8,abierta,4.1667,,,4.0,4.0,4.0,4.0,4.0,5.0,5.0,,,,4.0
baseline,tercero,9,cerrada,4.1667,,,4.0,4.0,4.0,4.0,4.0,5.0,5.0,,,,4.0
baseline,tercero,10,confrontativa,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,4.0
baseline,tercero,11,confrontativa,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,4.0
baseline,tercero,12,abierta,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,,,4.0
baseline,tercero,13,abierta,4.5,,,4.0,4.0,5.0,4.0,5.0,5.0,5.0,,,,4.5
